2012-00000004,Jan  1 2012 01:18:43:000PM,Jan  1 2012 07:00:00:000AM,Jan  1 2012 07:12:00:000AM,2253 SHERIDAN RD,,Drunkeness,Illegal Consumption by Minor,Referred
2012-00000010,Jan  3 2012 10:49:00:000AM,Dec 10 2011 12:00:00:000PM,Jan  3 2012 12:00:00:000PM,2341 SHERIDAN RD,,Burglary,Residential Burglary,Open
2012-00000011,Jan  3 2012 11:16:33:000AM,Jan  3 2012 09:33:00:000AM,Jan  3 2012 09:37:00:000AM,2001 SHERIDAN RD,,Suspicious Circumstances,,Closed
2012-00000012,Jan  3 2012 02:09:54:000PM,Jan  3 2012 02:09:00:000PM,Jan  3 2012 04:45:00:000PM,633 EMERSON ST,,Public Service,,Closed
2012-00000013,Jan  3 2012 10:31:18:000PM,Jan  3 2011 10:18:00:000PM,Jan  3 2011 10:30:00:000PM,810 CLARK ST,,Public Contact,,Closed
2012-00000019,Jan  4 2012 08:43:25:000PM,Jan  4 2012 11:00:00:000AM,Jan  4 2012 08:00:00:000PM,1915 MAPLE AVE,,Lost & found prop,,Closed
2012-00000021,Jan  4 2012 09:18:33:000PM,Jan  4 2012 08:13:00:000PM,Jan  4 2012 09:10:00:000PM,2001 SHERIDAN RD,,Service to Other Agency,,Closed
2012-00000022,Jan  4 2012 11:03:45:000PM,Jan  4 2012 10:55:00:000PM,Jan  4 2012 11:04:00:000PM,1900 ORRINGTON AVE,,Security Building,,Closed
2012-00000024,Jan  5 2012 01:50:26:000PM,Jan  4 2012 02:00:00:000PM,Jan  5 2012 02:24:00:000PM,1820 CHICAGO AVE,,Public Contact,,Closed
2012-00000025,Jan  5 2012 03:12:53:000PM,Jan  5 2012 02:50:00:000PM,Jan  5 2012 02:50:00:000PM, NOYES ST,,Service to Other Agency,,Closed
2012-00000026,Jan  5 2012 04:02:39:000PM,Jan  4 2012 02:00:00:000PM,Jan  4 2012 03:30:00:000PM,1865 SHERMAN AVE,,Theft,Theft $500 and Under,Closed
2012-00000028,Jan  6 2012 11:20:09:000AM,Jan  6 2012 10:56:00:000AM,Jan  6 2012 11:20:00:000AM,1999 CAMPUS DR,,Public Service,,Closed
2012-00000029,Jan  6 2012 12:39:46:000PM,Jan  6 2012 12:40:00:000PM,Jan  6 2012 01:00:00:000PM,619 UNIVERSITY PL,,Trespass,Criminal Trespass to land,Closed
2012-00000030,Jan  6 2012 04:23:30:000PM,Jan  6 2012 10:50:00:000AM,Jan  6 2012 11:50:00:000AM,2190 CAMPUS DR,,Burglary,Burglary,Closed
2012-00000031,Jan  6 2012 04:31:37:000PM,Jan  4 2012 07:00:00:000PM,Jan  4 2012 10:00:00:000PM,1870 CAMPUS DR,,Theft,Theft Over $500,Open
2012-00000032,Jan  6 2012 07:13:17:000PM,Jan  6 2012 07:13:00:000PM,Jan  6 2012 07:25:00:000PM, NOYES ST,,Public Service,,Closed
2012-00000034,Jan  7 2012 03:38:26:000AM,Jan  7 2012 03:35:00:000AM,Jan  7 2012 03:47:00:000AM,2324 CAMPUS DR,,Public Service,"Underage Possession of Alcohol-sale,gift delivery/purchase or posess",Referred
2012-00000035,Jan  7 2012 04:30:07:000AM,Jan  7 2012 04:13:00:000AM,Jan  7 2012 04:30:00:000AM,2133 RIDGE AVE,,Service to Other Agency,,Closed
2012-00000038,Jan  7 2012 11:31:42:000AM,Jan  7 2012 02:20:00:000AM,Jan  7 2012 02:25:00:000AM,2400 SHERIDAN RD,,Damage property,Criminal Damage to Property,Closed
2012-00000040,Jan  7 2012 10:13:35:000PM,Jan  7 2012 10:06:00:000PM,Jan  7 2012 10:13:00:000PM,619 UNIVERSITY PL,,Public Service,,Closed
2012-00000041,Jan  8 2012 03:15:46:000AM,Jan  8 2012 01:43:00:000AM,Jan  8 2012 04:12:00:000AM, 584 LINCOLN ST ,,Mental Case,,Closed
2012-00000045,Jan  8 2012 03:26:47:000PM,Jan  5 2012 03:20:00:000PM,Jan  5 2012 05:20:00:000PM,2001 SHERIDAN RD,,Theft,Theft $500 and Under,Closed
2012-00000047,Jan  8 2012 08:32:54:000PM,Jan  8 2012 11:00:00:000AM,Jan  8 2012 08:00:00:000PM,2331 SHERIDAN RD,,Theft,Theft $500 and Under,Open
2012-00000048,Jan  8 2012 08:42:47:000PM,Jan  8 2012 08:54:00:000PM,Jan  8 2012 09:10:00:000PM,2245 SHERIDAN RD,,Public Contact,,Closed
2012-00000049,Jan  9 2012 12:52:02:000AM,Jan  9 2012 12:42:00:000AM,Jan  9 2012 01:19:00:000AM,1865 SHERMAN AVE,,Public Service,,Closed
2012-00000050,Jan  9 2012 01:07:17:000AM,Jan  9 2012 01:03:00:000AM,Jan  9 2012 01:14:00:000AM,1865 SHERMAN AVE,,Public Service,,Closed
2012-00000051,Jan  9 2012 03:40:54:000AM,Jan  9 2012 03:23:00:000AM,Jan  9 2012 03:41:00:000AM,1927 ORRINGTON AVE,,Public Contact,,Closed
2012-00000053,Jan  9 2012 07:59:56:000AM,Jan  8 2012 10:00:00:000PM,Jan  9 2012 07:00:00:000AM,1880 CAMPUS DR,,Theft,Theft Over $500,Open
2012-00000058,Jan  9 2012 10:47:09:000AM,Jan  8 2012 10:50:00:000AM,Jan  8 2012 11:05:00:000AM,2025 CAMPUS DR,,Public Service,,Closed
2012-00000059,Jan  9 2012 03:03:00:000PM,Jan  6 2012 05:15:00:000PM,Jan  9 2012 03:05:00:000PM,633 CLARK ST,,Suspicious Circumstances,,Open
2012-00000061,Jan  9 2012 07:03:16:000PM,Jan  9 2012 06:00:00:000PM,Jan  9 2012 09:00:00:000PM,1927 ORRINGTON AVE,,Suspicious Circumstances,,Open
2012-00000062,Jan 10 2012 01:05:18:000AM,Jan 10 2012 01:05:00:000AM,Jan 10 2012 01:20:00:000AM,1820 SHERIDAN RD,,Drunkeness,Illegal Consumption by Minor,Referred
2012-00000063,Jan 10 2012 01:49:24:000AM,Jan 10 2012 01:22:00:000AM,Jan 10 2012 01:45:00:000AM,650 EMERSON ST,,Damage property,Criminal Damage to Property,Closed
2012-00000065,Jan 10 2012 12:12:40:000PM,Jan 10 2012 12:11:00:000PM,Jan 10 2012 12:12:00:000PM,1927 ORRINGTON AVE,,Missing person,,Closed
2012-00000066,Jan 10 2012 02:03:42:000PM,Jan 10 2012 02:03:00:000PM,Jan 10 2012 02:20:00:000PM,2233 TECH DR,,Public Service,,Closed
2012-00000067,Jan 10 2012 08:37:17:000PM,Jan 10 2012 08:31:00:000PM,Jan 10 2012 08:37:00:000PM,1115 EMERSON ST,,Public Contact,,Closed
2012-00000069,Jan 11 2012 11:24:45:000AM,Dec 28 2011 09:00:00:000AM,Jan 11 2012 08:45:00:000AM,633 CLARK ST,,Property Lost,,Closed
2012-00000070,Jan 11 2012 02:56:10:000PM,Jan 11 2012 10:00:00:000AM,Jan 11 2012 12:00:00:000PM,2145 SHERIDAN RD,,Theft,Theft Over $500,Open
2012-00000071,Jan 11 2012 04:30:18:000PM,Jan 11 2012 04:30:00:000PM,Jan 11 2012 06:00:00:000PM,633 EMERSON ST,,Public Service,,Closed
2012-00000072,Jan 11 2012 04:41:29:000PM,Jan  9 2012 05:00:00:000PM,Jan  9 2012 05:42:00:000PM,800 ELGIN RD,,Hit and Run,Hit and Run,Closed
2012-00000073,Jan 11 2012 07:03:47:000PM,Jan 11 2012 06:58:00:000PM,Jan 11 2012 07:10:00:000PM, SHERIDAN RD,,Service to Other Agency,,Closed
2012-00000074,Jan 11 2012 08:22:49:000PM,Jan 11 2012 01:30:00:000PM,Jan 11 2012 04:30:00:000PM,1970 CAMPUS DR,,Theft,Theft Over $500,Open
