Address,Name,Latitude,Longitude
1820 CHICAGO AVE,Allison Hall,42.0504851,-87.6780115
1820 SHERIDAN RD,Arts Residential College,42.049351,-87.6748818
2324 CAMPUS DR,Ayers,42.0603915,-87.6750985
2305 SHERIDAN RD,Bobb Hall,42.0595809,-87.6755259
2303 SHERIDAN RD,CCS,42.0593218,-87.6766698
726 UNIVERSITY PL,Chapin Hall,42.0510416,-87.6812257
1855 SHERIDAN RD,East Fairchild,42.0507646,-87.6750803
2400 SHERIDAN RD,Elder Hall,42.061206,-87.677629
1927 ORRINGTON AVE,Foster/Walker,42.0529359,-87.6793296
2321 SHERIDAN RD,Goodrich House,42.0600559,-87.6766135
1835 HINMAN AVE,Hinman Dorm,42.0497772,-87.67566
630 EMERSON ST,Hobart House,42.0520786,-87.6784806
2420 CAMPUS DR,Kemper Hall,42.0609938,-87.6749603
2309 SHERIDAN RD,Lindgren House,42.0596748,-87.6769913
2315 SHERIDAN RD,McCulloch Hall,42.0598528,-87.6769894
650 EMERSON ST,North Mid-Quad,42.0518278,-87.6798982
1856 ORRINGTON AVE,1856 Orrington,42.0517184,-87.6794655
1838 CHICAGO AVE,PARC Hall,42.0509466,-87.6779911
647 UNIVERSITY PL,Rogers House,42.0513973,-87.6792323
2245 SHERIDAN RD,Sargent Hall,42.0587265,-87.6754859
626 UNIVERSITY PL,Shepard Hall,42.0510931,-87.6785345
720 EMERSON ST,Sigma Alpha Iota,42.0510483,-87.6794507
2332 CAMPUS DR,Slivka Hall,42.0604942,-87.6757036
655 UNIVERSITY PL,South Mid-Quad,42.0513822,-87.6796874
1861 SHERIDAN RD,West Fairchild,42.0510276,-87.6755712
1865 SHERMAN AVE,Willard Hall,42.0514159,-87.6808972
560 LINCOLN ST,560 Lincoln,42.0616005,-87.6750648
