Address,Name,Latitude,Longitude,Total,Substances,Noise
726 UNIVERSITY PL,Chapin Hall,42.0510416,-87.6812257,22,18,0
560 LINCOLN ST,,42.0616005,-87.6750648,16,0,1
2309 SHERIDAN RD,Lindgren House,42.0596748,-87.6769913,8,3,0
1861 SHERIDAN RD,West Fairchild,42.0510276,-87.6755712,43,14,2
2303 SHERIDAN RD,CCS,42.0593218,-87.6766698,27,4,2
1820 CHICAGO AVE,Allison Hall,42.0504851,-87.67801150000001,136,72,1
630 EMERSON ST,Hobart House,42.0520786,-87.6784806,17,2,0
2420 CAMPUS DR,Kemper Hall,42.0609938,-87.6749603,49,23,3
1865 SHERMAN AVE,Willard Hall,42.05141589999999,-87.6808972,87,40,0
1856 ORRINGTON AVE,NU Residence IV,42.05171840000001,-87.67946549999999,7,5,0
2305 SHERIDAN RD,Bobb Hall,42.05958090000001,-87.6755259,107,58,6
655 UNIVERSITY PL,South Mid-Quad,42.0513822,-87.67968739999999,18,10,0
626 UNIVERSITY PL,Shepard Hall,42.0510931,-87.6785345,39,17,0
1835 HINMAN AVE,Hinman Dorm,42.0497772,-87.67566,108,57,2
720 EMERSON ST,Sigma Alpha Iota,42.0510483,-87.67945069999999,6,0,0
1838 CHICAGO AVE,PARC Hall,42.0509466,-87.6779911,48,31,1
2315 SHERIDAN RD,McCulloch Hall,42.0598528,-87.6769894,82,58,1
647 UNIVERSITY PL,Rogers House,42.0513973,-87.6792323,3,0,0
1927 ORRINGTON AVE,Foster/Walker,42.0529359,-87.6793296,229,55,9
2324 CAMPUS DR,Ayers,42.0603915,-87.67509849999999,51,31,1
2400 SHERIDAN RD,Elder Hall,42.06120600000001,-87.677629,166,80,3
2245 SHERIDAN RD,Sargent Hall,42.0587265,-87.6754859,121,62,1
2321 SHERIDAN RD,Goodrich House,42.06005589999999,-87.6766135,15,5,1
2332 CAMPUS DR,Slivka Hall,42.0604942,-87.67570359999999,45,36,0
1855 SHERIDAN RD,East Fairchild,42.0507646,-87.67508029999999,54,18,0
650 EMERSON ST,North Mid-Quad,42.0518278,-87.6798982,36,17,1
1820 SHERIDAN RD,Arts Residential College,42.049351,-87.6748818,46,28,1
